,Title,Artist,Album,Audio_Filename,Lyrics,Category,Cluster
0,(Mama) He Treats Your Daughter Mean,"Brown, Ruth",Best of Ruth Brown [Rhino],001.mp3,"Mama he treats your daughter mean 
Mama he treats your daughter mean 
Mama he treats your daughter mean 
He's the meanest man I've ever seen 

Mama he treats me badly 
Makes me love him madly 
Mama he takes my money 
Makes me call him honey 

Mama he can't be trusted 
He makes me so disgusted 
All of my friends they don't understand 
What's the matter with this man 

I tell you mama he treats your daughter mean 
Mama he treats your daughter mean 
Mama he treats your daughter mean 
He's the meanest man I've ever seen 

Mama this man is lazy 
Almost drives me crazy 
Mama he makes me squeeze him 
Still my squeezes don't please him 

Mama my heart is aching 
I believe it's breaking 
I've stood all that I can stand 
What's the matter with this man? 

I tell you Mama he treats your daughter mean 
Mama he treats your daughter mean 
Mama he treats your daughter mean 
He's the meanest man I've ever seen
 ",Boisterous,Cluster 1
1,Along Came Jones,Coasters,50 Coastin' Classics: Anthology,003.mp3,"I plopped down in my easy chair and turned on Channel 2
A bad gunslinger called Salty Sam was chasin' poor Sweet Sue
He trapped her in the old sawmill and said with an evil laugh,
""If you don't give me the deed to your ranch
I'll saw you all in half!""
And then he grabbed her (and then)
He tied her up (and then)
He turned on the bandsaw (and then, and then...!)

[Chorus:]
And then along came Jones
Tall thin Jones
Slow-walkin' Jones
Slow-talkin' Jones
Along came long, lean, lanky Jones

Commercial came on, so I got up to get myself a snack
You should've seen what was goin' on by the time that I got back
Down in the old abandoned mine, Sweet Sue was havin' fits
That villain said, ""Give me the deed to your ranch
Or I'll blow you all to bits!""
And then he grabbed her (and then)
He tied her up (and then)
He lit the fuse to the dynamite (and then, and then...!)

[Chorus]

I got so bugged I turned it off and turned on another show
But there was the same old shoot-'em-up and the same old rodeo
Salty Sam was tryin' to stuff Sweet Sue in a burlap sack
He said, ""If you don't give me the deed to your ranch
I'm gonna throw you on the railroad tracks!""
And then he grabbed her (and then)
He tied her up (and then)
He threw her on the railroad tracks (and then)
A train started comin' (and then, and then...!)

[Chorus]
 ",Boisterous,Cluster 1
2,Back in Black,AC/DC,Back in Black,004.mp3,"Back in black 
I hit the sack 
It's been too long I'm glad to be back 
Yes, I'm let loose 
From the noose 
That's kept me hanging around 
I've been looking at the sky 
and it's gettin' me high 
Forget the hearse 'cause I never die 
I got nine lives 
Cats eyes 
Cruisin' every woman, never wonderin' why 

[Chorus:]
'Cause I'm back 
Yes, I'm back 
Well, I'm back 
Yes, I'm back 
Well, I'm back, back 
Well I'm back in black 
Yes, I'm back in black 

Back in the back 
Of a Cadillac 
Number one with a bullet, I'm a power pack 
Yes, I'm in a bang 
With a gang 
They've got to catch me if they want me to hang 
Cause I'm back on the track 
And I'm beatin' the flack 
Nobody's gonna get me on another rap 
So look at me now 
I'm just makin' my play 
Don't try to push your luck, just get out of my way 

[Chorus]

Well, I'm back, Yes I'm back 
Well, I'm back, Yes I'm back 
Well, I'm back, back 
Well I'm back in black 
Yes I'm back in black 

hooo yeah 
Ohh yeah 
Yes I am 
Oooh yeah, yeah Oh yeah 
Back in now 
Well I'm back, I'm back 
Back, I'm back 
Back, I'm back 
Back, I'm back 
Back, I'm back 
Back 
Back in black 
Yes I'm back in black 
Out of the sack
 ",Boisterous,Cluster 1
3,Burn Rubber (Why You Wanna Hurt Me),Gap Band [1],Billboard Hot R&B Hits 1981,007.mp3,"Woo, I gave you my money, I gave you my time.
Why you wanna hurt me, girl?
Are you serious? I'm just curious.
Why you wanna hurt me, girl?

Just because you're not for real
Why you wanna hurt me, girl?
Just because you're not for real,
Why you wanna hurt me, girl?

Never, ever had a lover who put the pedal to the mettle
And burn rubber on me, Charlie
Oh, no

You took my money, you took my time
Made me think everything was fine
Then you upped and ran away
And made me just go crazy

I never, ever had a lover
Who put the pedal to the metal
And burn rubber on me, Charlie
Oh, no, no, no

Just because you're not for real
Why you wanna hurt me, girl
Just because you're not for real
Why you wanna hurt me, girl

I never, ever had a lover 
Who put the pedal to the metal 
And burn rubber on me, Charlie
Oh, no, no, no

Just because you're not for real
Why you wanna hurt me, girl
Just because you're not for real
Why you wanna hurt me, girl

You told me to go up the block
And get you a strawberry pop
When I got back to the flat
You had burned rubber out the back

I went to the closet and saw no clothes
All I saw was hangers and poles
I went to the phone and called your mother
And told me you had burned rubber on me, Charlie
OH, no, no (x13)

Just because you're not for real
Why you wanna hurt me, girl
Just because you're not for real
Why you wanna hurt me, girl

I never, ever had a lover 
Who put the pedal to the metal 
And burned rubber on me, Charlie
OH, no, no, no, no, oh, no, yeah, yeah

Just because you're not for real
Why you wanna hurt, me girl
Just because you're not for real
Why you wanna hurt me , girl

Just because your not for real
Why you wanna hurt me, girl

You took my money, you took my time
Made me think everything was fine
Like the clock on the wall, said ding-ding-dong
Got to find another lover that won't be gone

She won't put the pedal to the metal
And burn rubber, burn rubber, on me, Charlie
NO, no, no, no

I never, ever had a lover
Who put the pedal to the metal 
And burned rubber on me, Charlie
NO, no, no, no, no, no(repeat 8x)
 ",Boisterous,Cluster 1
4,Cigarettes and Alcohol,Oasis,Definitely Maybe,008.mp3,"Is it my imagination 
Or have I finally found something worth living for? 
I was looking for some action 
But all I found was cigarettes and alcohol 

You could wait for a lifetime 
To spend your days in the sunshine 
You might as well do the white line 
'Cause when it comes on top . . . 

You gotta make it happen! 
Is it worth the aggravation 
To find yourself a job when there's nothing worth working for? 
It's a crazy situation 

But all I need are cigarettes and alcohol! 
You could wait for a lifetime 
To spend your days in the sunshine 
You might as well do the white line 

'Cause when it comes on top... 
You gotta make it happen!
 ",Boisterous,Cluster 1
5,Country Grammar (Hot...),Nelly,"Source Presents: Hip Hop Hits, Vol. 4 [Clean]",009.mp3,"[Chorus: x2]
I'm goin down down baby, yo' street in a range rover (c'mon)
Street sweeper baby, cocked ready to let it go (hot shit!)
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now

You can find me, in St. Louis rolling on dubs
Smoking on dubs in clubs, blowing up like cocoa puffs
Sipping bud, getting perved and getting dubbed
Daps and hugs, mean mugs and shoulder shrugs
And it's all because, accumulated enough stretch
Just to navigate it, wood decorated on chrome
And it's candy painted, fans fainted, while I'm entertaining
Wild ain't it? How me and money end up hanging
I hang with Hannibal Lector (hot shit!) so feel me when I bring it
Sing it loud (what?) I'm from the Lou' and I'm proud
Run a mile, for the cause, I'm righteous above the law
Player my style's raw, I'm ""born to mack"" like Todd Shaw
Forget the fame, and the glamor
Give me d's with a rubber hammer
My grammar be's ebonics, gin tonic and chronic
Fuck bionic it's ironic, slamming niggas like onyx
Lunatics til the day I die
I run more game than the bulls and sonics

[Chorus]

Who say pretty boys can't be wild niggas?
Loud niggas, o.k. corral niggas
Foul niggas, run in the club and bust in the crowd nigga
How nigga? ask me again and it's going down nigga
Now nigga, come to the circus and watch me clown nigga
Pound niggas, what you be giving when I'm around nigga
Frown niggas, talking shit when I leave the town nigga
Say now, can you hoes come out to play now
Hey I'm, ready to cut you up any day now
Play by, my rules boo and you gon' stay high
May I, answer yo' third question like A.I.
Say hi, to my niggas left in the slamma
From St. Louis to Memphis
From Texas back up to Indiana, Chi-town
K.c. Motown to Alabama
L.A., New York Yankee niggas to Hotlanta
Louisiana, all my niggas wit ""country grammar""
Smoking blunts in Savannah
Blow thirty mill' like I'm hammer

[Chorus]

Let's show these cats to make these millions
So you niggas quit acting silly, mon
Kid quicker than Billy, mon
Talking really and I need it mon
Foes I kick em freely mon, especially off remi, mon
Keys to my beemer, mon, holla at Beenie Man
See me, mon, cheifin' rolling deeper than any mon
Through Jennings mon, through you-city back up to Kingsland
Wit nice niggas, sheist niggas who snatch yo' life niggas
Trife niggas, who produce and sell the same beat twice, nigga
(hot shit!) Ice niggas, all over close to never sober
From broke to having dough, cause my price range is rover
Now I'm knocking like Jehovah, let me in now, let me in now
Bill Gates, Donald Trump let me in now
Spin now, I got money to lend my friends now
We in now, candy Benz, Kenwood and ten inches now
I win now (whoo!) fucking lesbian twins now
Seeing now, through the pen I make my ends now

[Chorus]
 ",Boisterous,Cluster 1
6,Fairytale of New York,"Pogues/MacColl, Kirsty",If I Should Fall from Grace with God [Germany Bonus Tracks],010.mp3,"It was christmas eve babe
In the drunk tank
An old man said to me, wont see another one
And then he sang a song
The rare old mountain dew
I turned my face away
And dreamed about you

Got on a lucky one
Came in eighteen to one
Ive got a feeling
This years for me and you
So happy christmas
I love you baby
I can see a better time
When all our dreams come true

Theyve got cars big as bars
Theyve got rivers of gold
But the wind goes right through you
Its no place for the old
When you first took my hand
On a cold christmas eve
You promised me
Broadway was waiting for me

You were handsome
You were pretty
Queen of new york city
When the band finished playing
They howled out for more
Sinatra was swinging,
All the drunks they were singing
We kissed on a corner
Then danced through the night

The boys of the nypd choir
Were singing galway bay
And the bells were ringing out
For christmas day

Youre a bum
Youre a punk
Youre an old slut on junk
Lying there almost dead on a drip in that bed
You scumbag, you maggot
You cheap lousy faggot
Happy christmas your arse
I pray God its our last

I could have been someone
Well so could anyone
You took my dreams from me
When I first found you
I kept them with me babe
I put them with my own
Cant make it all alone
Ive built my dreams around you
 ",Boisterous,Cluster 1
7,Gimme a Pigfoot (And a Bottle of Beer),"Smith, Bessie",Collection,011.mp3,"Twenty-five cents, hah, no, no
I wouldn't pay twenty-five cents to go in nowhere
'Cause listen here.....

Up in Harlem ev'ry Saturday night
When the highbrows get together its just too tight
They all congregates at an all night strut
And what they do is tut-tut-tut

Old Hannah Brown from 'cross town
Gets full of corn and starts breakin' 'em down
Just at the break of day
You can hear old Hannah say

Gimme a pigfoot and a bottle of beer
Send me 'gain, I don't care
I feel just like I wanna clown
Give the piano player a drink
Because he's bringin' me down!
He's gotta rhythm, Y-e-e-a-a-h!
When he stomps his feet
He sends me right off to sleep
Check all your razors and your guns
We gonna be 'rested when the wagon comes
I wanna pigfoot and a bottle of beer
Send me 'cause I don't care
Play me 'cause I don't care

Gimme a pigfoot and a bottle of beer
Send me 'gain, I don't care
I feel just like I wanna clown
Give the piano player a drink
Because he's bringin' me down
He's got rhythm, Y-e-e-a-a-h!
When he stomps his feet
He sends me right off to sleep
Check all your razors and your guns
Do the shim-sham-shimmy 'til the risin' sun
Give me a reefer and a gang o' gin
Play me 'cause I'm in my sin
Play me 'cause I'm full of gin
 ",Boisterous,Cluster 1
8,Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik,012.mp3,"What I've got you've got to give it to your mamma
What I've got you've got to give it to your pappa
What I've got you've got to give it to your daughter
You do a little dance and then you drink a little water

What I've got you've got to get it put it in you
What I've got you've got to get it put it in you
What I've got you've got to get it put it in you
Reeling with the feeling don't stop continue

Realize I don't want to be a miser
Confide w/sly you'll be the wiser
Young blood is the lovin' upriser
How come everybody want to keep it like the kaiser

[Chorus]
Give it away give it away give it away give it away now 
Give it away give it away give it away give it away now 
Give it away give it away give it away give it away now 

I can't tell if I'm a kingpin or a pauper
Greedy little people in a sea of distress
Keep your more to receive your less
Unimpressed by material excess
Love is free love me say hell yes

I'm a low brow but I rock a little know how
No time for the piggies or the hoosegow
Get smart get down with the pow wow
Never been a better time than right now

Bob Marley poet and a prophet
Bob Marley taught me how to off it
Bob Marley walkin' like he talk it
Goodness me can't you see I'm gonna cough it

[Chorus]

Lucky me swimmin' in my ability
Dancin' down on life with agility
Come and drink it up from my fertility
Blessed with a bucket of lucky mobility

My mom I love her 'cause she love me
Long gone are the times when she scrub me
Feelin' good my brother gonna hug me
Drink my juice young love chug-a-lug me

There's a river born to be a giver
Keep you warm won't let you shiver
His heart is never gonna wither
Come on everybody time to deliver

[Chorus]

What I've got you've got to give it to your mamma
What I've got you've got to give it to your pappa
What I've got you've got to give it to your daughter
You do a little dance and then you drink a little water
 ",Boisterous,Cluster 1
9,God! Show Me Magic,Super Furry Animals,Fuzzy Logic,013.mp3,"I had a soul transplant operation 
Coz my bypass didn't function 
So now I'm keeping on my toes 
'Til I see your one man show 

Show me magic 
Show me magic 
Show me magic 
Show me mad 

Wouldn't it be nice to know 
What the paper doesn't show 
What the TV doesn't say 
And what my hamster's ate today? 

Show me magic 
Show me magic 
Show me magic 
Show me mad 

God! Show me magic 
God! Show me magic 
God! Show me magic 
God! Show me mad 

Show me magic 
Show me magic 
Show me magic 
Show me magic
 ",Boisterous,Cluster 1
